File Name, HeapSort, MergeSort, QuickSort, 
./Test Files/Large_Sorted_25.txt, 177716519, 129032023, 1711, 
./Test Files/Large_Sorted_26.txt, 178701405, 128940506, 1711, 
./Test Files/Large_Sorted_27.txt, 177313241, 130968011, 1283, 
./Test Files/Large_Sorted_28.txt, 177222152, 134248112, 1711, 
./Test Files/Large_Sorted_29.txt, 177009608, 129620047, 1283, 
./Test Files/Large_Sorted_30.txt, 178204044, 130373145, 1711, 
./Test Files/Large_Reverse_Sort_1.txt, 182949714, 132570428, 1710, 
./Test Files/Large_Reverse_Sort_2.txt, 181254068, 140954146, 1711, 
./Test Files/Large_Reverse_Sort_3.txt, 185641365, 135995504, 1711, 
./Test Files/Large_Reverse_Sort_4.txt, 186252482, 135676903, 1711, 
./Test Files/Large_Reverse_Sort_5.txt, 185372371, 135498571, 2139, 
./Test Files/Large_Reverse_Sort_6.txt, 185421123, 140215589, 1711, 
./Test Files/Large_Reverse_Sort_7.txt, 192112189, 132891596, 1711, 
./Test Files/Large_Reverse_Sort_8.txt, 181349862, 132929657, 1283, 
./Test Files/Large_Reverse_Sort_9.txt, 183149000, 134075341, 1283, 
./Test Files/Large_Reverse_Sort_10.txt, 181470033, 132753036, 1710, 
./Test Files/Large_Reverse_Sort_11.txt, 188668296, 139134053, 1711, 
./Test Files/Large_Reverse_Sort_12.txt, 180446230, 131467510, 1711, 
./Test Files/Large_Reverse_Sort_13.txt, 181353711, 133755884, 1710, 
./Test Files/Large_Reverse_Sort_14.txt, 182109375, 138206473, 1711, 
./Test Files/Large_Reverse_Sort_15.txt, 184473443, 140614590, 1711, 
./Test Files/Large_Reverse_Sort_16.txt, 184845074, 135760295, 1711, 
./Test Files/Large_Reverse_Sort_17.txt, 185136734, 136190087, 427, 
./Test Files/Large_Reverse_Sort_18.txt, 187654329, 136444113, 0, 
./Test Files/Large_Reverse_Sort_19.txt, 210899004, 135647822, 0, 
./Test Files/Large_Reverse_Sort_20.txt, 185040512, 135803488, 427, 
./Test Files/Large_Reverse_Sort_21.txt, 182325340, 133084039, 428, 
./Test Files/Large_Reverse_Sort_22.txt, 182554135, 132224456, 0, 
./Test Files/Large_Reverse_Sort_23.txt, 183500960, 132492168, 427, 
./Test Files/Large_Reverse_Sort_24.txt, 185139728, 133456098, 0, 
./Test Files/Large_Reverse_Sort_25.txt, 187428529, 147100382, 427, 
./Test Files/Large_Reverse_Sort_26.txt, 291564280, 156104197, 427, 
./Test Files/Large_Reverse_Sort_27.txt, 309551383, 289620167, 428, 
./Test Files/Large_Reverse_Sort_28.txt, 213463215, 307738988, 0, 
./Test Files/Large_Reverse_Sort_29.txt, 199279660, 134661654, 0, 
./Test Files/Large_Reverse_Sort_30.txt, 238661838, 145324337, 0, 
